cause_of_death,chapter,category,2008_Males,2008_Females,2008_Persons,2009_Males,2009_Females,2009_Persons,2010_Males,2010_Females,2010_Persons,2011_Males,2011_Females,2011_Persons,2012_Males,2012_Females,2012_Persons,2013_Males,2013_Females,2013_Persons,2014_Males,2014_Females,2014_Persons,2015_Males,2015_Females,2015_Persons,2016_Males,2016_Females,2016_Persons,2017_Males,2017_Females,2017_Persons
Inhalation and ingestion of food causing obstruction of respiratory tract,CHAPTER XX External causes of morbidity and mortality,,37,24,61,38,27,65,20,21,41,38,23,61,30,15,45,33,22,55,32,26,58,39,24,63,34,21,55,29,21,50
Inhalation and ingestion of other objects causing obstruction of respiratory tract,CHAPTER XX External causes of morbidity and mortality,,61,43,104,62,44,106,56,43,99,59,56,115,60,48,108,29,29,58,25,42,67,48,35,83,42,51,93,39,25,64
Confined to or trapped in a low-oxygen environment,CHAPTER XX External causes of morbidity and mortality,,1,0,1,0,0,0,2,1,3,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,2,0,2,1,0,1
Other specified threats to breathing,CHAPTER XX External causes of morbidity and mortality,,2,2,4,4,1,5,9,1,10,2,5,7,6,4,10,2,3,5,6,2,8,4,3,7,6,1,7,3,1,4
Unspecified threat to breathing,CHAPTER XX External causes of morbidity and mortality,,5,1,6,1,0,1,2,2,4,2,3,5,2,1,3,3,1,4,0,0,0,1,0,1,0,0,0,0,0,0
"Exposure to electric current, radiation and extreme ambient air temperature and pressure",CHAPTER XX External causes of morbidity and mortality,,15,2,17,22,1,23,23,0,23,24,3,27,14,0,14,17,0,17,10,2,12,12,0,12,17,2,19,8,1,9
Exposure to electric transmission lines,CHAPTER XX External causes of morbidity and mortality,,3,1,4,6,0,6,4,0,4,7,1,8,5,0,5,3,0,3,2,1,3,1,0,1,5,0,5,1,0,1
Exposure to other specified electric current,CHAPTER XX External causes of morbidity and mortality,,3,0,3,10,0,10,13,0,13,12,1,13,4,0,4,6,0,6,3,1,4,8,0,8,9,0,9,2,1,3
Exposure to unspecified electric current,CHAPTER XX External causes of morbidity and mortality,,8,0,8,6,1,7,4,0,4,3,1,4,4,0,4,7,0,7,5,0,5,3,0,3,3,0,3,3,0,3
Exposure to ionizing radiation,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exposure to man-made visible and ultraviolet light,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exposure to other nonionizing radiation,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exposure to unspecified type of radiation,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exposure to excessive heat of man-made origin,CHAPTER XX External causes of morbidity and mortality,,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
Exposure to excessive cold of man-made origin,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Exposure to high and low air pressure and changes in air pressure,CHAPTER XX External causes of morbidity and mortality,,1,0,1,0,0,0,2,0,2,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Exposure to other and unspecified man-made environmental factors,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Exposure to smoke, fire and flames",CHAPTER XX External causes of morbidity and mortality,,58,26,84,135,92,227,49,22,71,54,29,83,35,25,60,34,24,58,37,21,58,34,19,53,36,14,50,31,20,51
Exposure to uncontrolled fire in building or structure,CHAPTER XX External causes of morbidity and mortality,,39,18,57,21,16,37,33,14,47,30,23,53,25,16,41,25,14,39,27,14,41,23,12,35,28,9,37,16,11,27
"Exposure to uncontrolled fire, not in building or structure",CHAPTER XX External causes of morbidity and mortality,,7,0,7,97,70,167,2,1,3,2,0,2,0,0,0,3,1,4,0,1,1,3,1,4,2,0,2,2,1,3
Exposure to controlled fire in building or structure,CHAPTER XX External causes of morbidity and mortality,,1,1,2,0,1,1,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
"Exposure to controlled fire, not in building or structure",CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,1,1,2,0,0,0,0,0,0,2,2,4
Exposure to ignition of highly flammable material,CHAPTER XX External causes of morbidity and mortality,,4,0,4,4,0,4,6,2,8,8,0,8,2,0,2,0,1,1,1,1,2,1,0,1,3,0,3,1,1,2
Exposure to ignition or melting of nightwear,CHAPTER XX External causes of morbidity and mortality,,1,2,3,2,0,2,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,3,3,0,1,1,0,0,0
Exposure to ignition or melting of other clothing and apparel,CHAPTER XX External causes of morbidity and mortality,,2,2,4,1,0,1,3,1,4,1,2,3,1,1,2,2,4,6,1,3,4,2,0,2,1,2,3,1,2,3
"Exposure to other specified smoke, fire and flames",CHAPTER XX External causes of morbidity and mortality,,1,1,2,3,1,4,1,0,1,4,2,6,0,2,2,0,0,0,2,0,2,2,0,2,0,0,0,0,0,0
"Exposure to unspecified smoke, fire and flames",CHAPTER XX External causes of morbidity and mortality,,3,2,5,7,4,11,3,4,7,8,2,10,4,5,9,3,2,5,5,1,6,3,3,6,2,2,4,7,3,10
Contact with heat and hot substances,CHAPTER XX External causes of morbidity and mortality,,2,2,4,2,3,5,0,0,0,1,1,2,2,4,6,3,2,5,4,4,8,1,5,6,3,2,5,2,1,3
"Contact with hot drinks, food, fats and cooking oils",CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1
Contact with hot tap-water,CHAPTER XX External causes of morbidity and mortality,,2,1,3,2,2,4,0,0,0,1,1,2,1,3,4,1,1,2,0,1,1,1,2,3,0,2,2,0,0,0
Contact with other hot fluids,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,3,3,2,5,0,1,1,0,0,0,0,1,1
Contact with steam and hot vapours,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contact with hot air and gases,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contact with hot household appliances,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Contact with hot heating appliances, radiators and pipes",CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1
"Contact with hot engines, machinery and tools",CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Contact with other hot metals,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contact with other and unspecified heat and hot substances,CHAPTER XX External causes of morbidity and mortality,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0
Contact with venomous animals and plants,CHAPTER XX External causes of morbidity and mortality,,3,0,3,2,1,3,5,1,6,3,1,4,5,0,5,7,2,9,9,0,9,1,2,3,3,1,4,8,1,9
Contact with venomous snakes and lizards,CHAPTER XX External causes of morbidity and mortality,,0,0,0,1,1,2,2,1,3,1,1,2,3,0,3,3,1,4,3,0,3,0,2,2,1,1,2,2,0,2
Contact with venomous spiders,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contact with scorpions,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Contact with hornets, wasps and bees",CHAPTER XX External causes of morbidity and mortality,,3,0,3,1,0,1,3,0,3,1,0,1,2,0,2,3,1,4,4,0,4,1,0,1,2,0,2,5,1,6
Contact with centipedes and venomous millipedes (tropical),CHAPTER XX External causes of morbidity and mortality,X24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contact with other specified venomous arthropods,CHAPTER XX External causes of morbidity and mortality,X25,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1
Contact with venomous marine animals and plants,CHAPTER XX External causes of morbidity and mortality,X26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contact with other specified venomous animals,CHAPTER XX External causes of morbidity and mortality,X27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contact with other specified venomous plants,CHAPTER XX External causes of morbidity and mortality,X28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contact with unspecified venomous animal or plant,CHAPTER XX External causes of morbidity and mortality,X29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Exposure to forces of nature,CHAPTER XX External causes of morbidity and mortality,X30-X39,34,26,60,50,35,85,30,16,46,48,29,77,19,14,33,22,13,35,35,16,51,28,8,36,26,4,30,31,16,47
Exposure to excessive natural heat,CHAPTER XX External causes of morbidity and mortality,X30,6,7,13,29,25,54,5,4,9,10,4,14,4,2,6,10,5,15,24,13,37,10,4,14,9,1,10,13,5,18
Exposure to excessive natural cold,CHAPTER XX External causes of morbidity and mortality,X31,18,17,35,15,8,23,19,10,29,18,10,28,12,9,21,7,8,15,4,1,5,2,2,4,5,1,6,5,6,11
Exposure to sunlight,CHAPTER XX External causes of morbidity and mortality,X32,2,0,2,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victim of lightning,CHAPTER XX External causes of morbidity and mortality,X33,3,0,3,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,3,1,4,5,0,5,1,0,1,3,2,5
Victim of earthquake,CHAPTER XX External causes of morbidity and mortality,X34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victim of volcanic eruption,CHAPTER XX External causes of morbidity and mortality,X35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Victim of avalanche, landslide and other earth movements",CHAPTER XX External causes of morbidity and mortality,X36,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
Victim of cataclysmic storm,CHAPTER XX External causes of morbidity and mortality,X37,1,1,2,2,1,3,3,0,3,4,5,9,2,2,4,3,0,3,2,1,3,3,1,4,2,1,3,9,2,11
Victim of flood,CHAPTER XX External causes of morbidity and mortality,X38,1,1,2,3,0,3,1,2,3,15,10,25,0,0,0,1,0,1,0,0,0,4,1,5,5,1,6,1,1,2
Exposure to other and unspecified forces of nature,CHAPTER XX External causes of morbidity and mortality,X39,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,4,0,4,4,0,4,0,0,0
Accidental poisoning by and exposure to noxious substances,CHAPTER XX External causes of morbidity and mortality,X40-X49,605,271,876,687,317,"1,004",708,305,"1,013",706,302,"1,008",602,339,941,710,349,"1,059",847,424,"1,271",882,414,"1,296",981,426,"1,407",920,385,"1,305"
"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",CHAPTER XX External causes of morbidity and mortality,X40,4,4,8,3,9,12,7,8,15,9,11,20,3,6,9,7,12,19,6,9,15,5,10,15,4,10,14,4,11,15
"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",CHAPTER XX External causes of morbidity and mortality,X41,42,36,78,40,28,68,45,37,82,72,41,113,50,27,77,74,46,120,108,46,154,106,62,168,140,58,198,103,42,145
"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",CHAPTER XX External causes of morbidity and mortality,X42,182,41,223,201,48,249,195,54,249,224,45,269,155,49,204,223,66,289,258,94,352,291,84,375,281,93,374,253,61,314
Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,CHAPTER XX External causes of morbidity and mortality,X43,1,1,2,1,0,1,1,0,1,2,2,4,1,0,1,2,2,4,1,3,4,1,1,2,0,0,0,1,1,2
"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",CHAPTER XX External causes of morbidity and mortality,X44,309,167,476,373,213,586,389,185,574,330,181,511,329,230,559,336,195,531,400,230,630,412,220,632,465,238,703,494,246,740
Accidental poisoning by and exposure to alcohol,CHAPTER XX External causes of morbidity and mortality,X45,47,15,62,57,16,73,56,17,73,52,14,66,45,21,66,49,20,69,63,36,99,57,28,85,74,25,99,58,21,79
Accidental poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours,CHAPTER XX External causes of morbidity and mortality,X46,3,1,4,5,1,6,0,0,0,0,0,0,4,0,4,5,0,5,1,0,1,1,1,2,3,0,3,0,0,0
Accidental poisoning by and exposure to other gases and vapours,CHAPTER XX External causes of morbidity and mortality,X47,8,0,8,7,0,7,8,1,9,11,1,12,9,0,9,5,1,6,5,3,8,9,2,11,9,0,9,6,3,9
Accidental poisoning by and exposure to pesticides,CHAPTER XX External causes of morbidity and mortality,X48,1,1,2,0,0,0,3,0,3,3,0,3,3,0,3,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0
Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances,CHAPTER XX External causes of morbidity and mortality,X49,8,5,13,0,2,2,4,3,7,3,7,10,3,6,9,9,5,14,4,3,7,0,6,6,5,2,7,1,0,1
"Overexertion, travel and privation",CHAPTER XX External causes of morbidity and mortality,X50-X57,5,1,6,1,0,1,0,1,1,1,2,3,5,0,5,1,5,6,6,4,10,2,2,4,1,0,1,6,5,11
Overexertion and strenuous or repetitive movements,CHAPTER XX External causes of morbidity and mortality,X50,2,0,2,1,0,1,0,0,0,1,1,2,2,0,2,0,0,0,3,0,3,0,0,0,1,0,1,1,0,1
Travel and motion,CHAPTER XX External causes of morbidity and mortality,X51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Prolonged stay in weightless environment,CHAPTER XX External causes of morbidity and mortality,X52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lack of food,CHAPTER XX External causes of morbidity and mortality,X53,3,1,4,0,0,0,0,1,1,0,1,1,3,0,3,1,5,6,3,4,7,1,2,3,0,0,0,5,4,9
Lack of water,CHAPTER XX External causes of morbidity and mortality,X54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Unspecified privation,CHAPTER XX External causes of morbidity and mortality,X57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Accidental exposure to other and unspecified factors,CHAPTER XX External causes of morbidity and mortality,X58-X59,330,440,770,303,406,709,235,373,608,277,442,719,296,409,705,267,413,680,297,427,724,370,512,882,439,568,"1,007",414,535,949
Exposure to other specified factors,CHAPTER XX External causes of morbidity and mortality,X58,1,3,4,2,0,2,0,2,2,3,1,4,3,3,6,1,3,4,4,1,5,4,1,5,2,1,3,9,2,11
Exposure to unspecified factor,CHAPTER XX External causes of morbidity and mortality,X59,329,437,766,301,406,707,235,371,606,274,441,715,293,406,699,266,410,676,293,426,719,366,511,877,437,567,"1,004",405,533,938
Other external causes of mortality,CHAPTER XX External causes of morbidity and mortality,X60-Y36,"2,352",734,"3,086","2,249",752,"3,001","2,301",750,"3,051","2,139",773,"2,912","2,298",818,"3,116","2,232",799,"3,031","2,501",881,"3,382","2,618",899,"3,517","2,402",851,"3,253","2,614",913,"3,527"
Intentional self-harm,CHAPTER XX External causes of morbidity and mortality,X60-X84,"1,832",508,"2,340","1,783",552,"2,335","1,912",566,"2,478","1,811",581,"2,392","1,930",650,"2,580","1,944",664,"2,608","2,205",714,"2,919","2,313",752,"3,065","2,149",713,"2,862","2,346",778,"3,124"
"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",CHAPTER XX External causes of morbidity and mortality,X60,3,3,6,2,5,7,1,9,10,5,5,10,2,4,6,0,3,3,2,5,7,5,6,11,2,7,9,2,3,5
"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",CHAPTER XX External causes of morbidity and mortality,X61,44,30,74,33,24,57,32,30,62,38,49,87,45,42,87,59,81,140,79,74,153,90,79,169,72,63,135,66,69,135
"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",CHAPTER XX External causes of morbidity and mortality,X62,20,8,28,14,13,27,16,8,24,26,16,42,24,11,35,23,19,42,26,20,46,30,22,52,27,17,44,21,20,41
Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system,CHAPTER XX External causes of morbidity and mortality,X63,3,1,4,2,4,6,1,0,1,0,0,0,1,0,1,2,6,8,1,0,1,3,6,9,2,1,3,4,5,9
"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",CHAPTER XX External causes of morbidity and mortality,X64,88,89,177,119,121,240,96,110,206,100,92,192,135,122,257,85,97,182,124,118,242,118,96,214,107,113,220,119,131,250
Intentional self-poisoning by and exposure to alcohol,CHAPTER XX External causes of morbidity and mortality,X65,4,2,6,4,1,5,0,1,1,0,2,2,0,0,0,1,0,1,2,0,2,1,0,1,4,1,5,1,1,2
Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours,CHAPTER XX External causes of morbidity and mortality,X66,0,0,0,3,0,3,1,0,1,4,4,8,3,1,4,3,1,4,2,1,3,0,3,3,2,0,2,2,0,2
Intentional self-poisoning by and exposure to other gases and vapours,CHAPTER XX External causes of morbidity and mortality,X67,197,33,230,209,41,250,189,33,222,165,37,202,159,36,195,150,25,175,148,26,174,154,35,189,129,24,153,137,19,156
Intentional self-poisoning by and exposure to pesticides,CHAPTER XX External causes of morbidity and mortality,X68,9,2,11,7,3,10,7,1,8,8,2,10,6,0,6,5,5,10,4,1,5,11,4,15,7,1,8,7,1,8
Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances,CHAPTER XX External causes of morbidity and mortality,X69,7,3,10,3,4,7,5,4,9,6,4,10,6,4,10,10,4,14,4,2,6,8,6,14,4,2,6,7,1,8
"Intentional self-harm by hanging, strangulation and suffocation",CHAPTER XX External causes of morbidity and mortality,X70,998,215,"1,213",969,228,"1,197","1,119",256,"1,375","1,054",271,"1,325","1,084",301,"1,385","1,115",305,"1,420","1,285",349,"1,634","1,346",363,"1,709","1,244",339,"1,583","1,455",374,"1,829"
Intentional self-harm by drowning and submersion,CHAPTER XX External causes of morbidity and mortality,X71,32,15,47,29,21,50,29,14,43,35,13,48,28,19,47,41,17,58,35,18,53,36,19,55,36,26,62,30,29,59
Intentional self-harm by handgun discharge,CHAPTER XX External causes of morbidity and mortality,X72,23,2,25,16,1,17,15,3,18,16,1,17,10,2,12,21,3,24,17,0,17,19,1,20,16,2,18,24,2,26
"Intentional self-harm by rifle, shotgun and larger firearm discharge",CHAPTER XX External causes of morbidity and mortality,X73,133,7,140,134,5,139,130,11,141,110,6,116,130,5,135,131,4,135,135,4,139,143,2,145,150,7,157,128,4,132
Intentional self-harm by other and unspecified firearm discharge,CHAPTER XX External causes of morbidity and mortality,X74,15,3,18,16,2,18,12,0,12,11,0,11,29,1,30,9,0,9,24,1,25,15,0,15,7,1,8,4,0,4
Intentional self-harm by explosive material,CHAPTER XX External causes of morbidity and mortality,X75,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,2,5,0,5,2,1,3,2,0,2
"Intentional self-harm by smoke, fire and flames",CHAPTER XX External causes of morbidity and mortality,X76,14,8,22,18,7,25,12,7,19,17,4,21,22,8,30,29,7,36,25,13,38,25,9,34,23,11,34,15,8,23
"Intentional self-harm by steam, hot vapours and hot objects",CHAPTER XX External causes of morbidity and mortality,X77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intentional self-harm by sharp object,CHAPTER XX External causes of morbidity and mortality,X78,37,16,53,50,13,63,53,11,64,54,14,68,65,15,80,63,11,74,68,15,83,79,18,97,78,16,94,77,19,96
Intentional self-harm by blunt object,CHAPTER XX External causes of morbidity and mortality,X79,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Intentional self-harm by jumping from a high place,CHAPTER XX External causes of morbidity and mortality,X80,98,40,138,72,29,101,92,41,133,75,33,108,81,36,117,95,33,128,112,37,149,101,39,140,104,37,141,118,41,159
Intentional self-harm by jumping or lying before moving object,CHAPTER XX External causes of morbidity and mortality,X81,61,14,75,45,21,66,60,19,79,55,25,80,59,32,91,60,30,90,73,24,97,75,30,105,71,26,97,67,35,102
Intentional self-harm by crashing of motor vehicle,CHAPTER XX External causes of morbidity and mortality,X82,14,8,22,23,3,26,27,7,34,17,3,20,25,6,31,22,5,27,27,5,32,33,5,38,37,6,43,33,11,44
Intentional self-harm by other specified means,CHAPTER XX External causes of morbidity and mortality,X83,14,3,17,7,2,9,11,1,12,11,0,11,10,3,13,10,0,10,10,0,10,9,3,12,8,2,10,12,1,13
Intentional self-harm by unspecified means,CHAPTER XX External causes of morbidity and mortality,X84,18,6,24,8,4,12,3,0,3,3,0,3,5,2,7,10,8,18,0,1,1,7,6,13,16,10,26,15,4,19
Assault,CHAPTER XX External causes of morbidity and mortality,X85-Y09,158,93,251,192,80,272,166,92,258,152,91,243,198,87,285,160,88,248,170,102,272,185,89,274,162,82,244,124,56,180
"Assault by drugs, medicaments and biological substances",CHAPTER XX External causes of morbidity and mortality,X85,1,0,1,1,2,3,1,1,2,2,0,2,0,0,0,0,0,0,1,2,3,0,0,0,0,2,2,2,0,2
Assault by corrosive substance,CHAPTER XX External causes of morbidity and mortality,X86,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assault by pesticides,CHAPTER XX External causes of morbidity and mortality,X87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assault by gases and vapours,CHAPTER XX External causes of morbidity and mortality,X88,2,0,2,2,0,2,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,2,3,0,0,0
